product_name,product_price,product_rating,log_product_price,value_score,cluster,mean,std,z_score
"Gap Cleaning Brush, 2023 New Multifunctional Gap Brush Crevice Cleaning Brush Tool, Bathroom Gap Brush, Grout Cleaner Brush Hard Bristle Crevice Cleaning Brush (4pcs)",7.99,4.6,2.196112848483529,1.4392483050723874,0,36.32676624346527,102.90863613836294,-0.27535848600078483
"Levoit Top Fill Humidifiers for Bedroom, Super Easy to Fill and Clean, 26db Quiet Cool Mist Air Humidifier for Home Baby Nursery & Plants, Auto Shut-off and BPA-Free for Safety, 2.5L, 360° Nozzle",39.99,4.6,3.7133281345162463,0.9759558148123973,1,36.32676624346527,102.90863613836294,0.035596951762235304
"128PCS/4SIZE 3D Bats Sticker, Halloween Party Supplies Reusable Decorative Scary Wall Decal for Home Decor DIY Wall Decal.",9.98,4.6,2.3960754360813845,1.3545046588563954,0,36.32676624346527,102.90863613836294,-0.256020944714897
"Glocusent USB Rechargeable Book Light for Reading in Bed, Portable Clip-on LED Reading Light, 3 Amber Colors & 5 Brightness Dimmable, Compact & Long Lasting, Perfect for Book Lovers, Kids",15.99,4.6,2.8326249356838407,1.2002218002527396,1,36.32676624346527,102.90863613836294,-0.1976196265600298
"FLYHIT Large Towel Warmer for Bathroom - Heated Towel Warmers Bucket, Wood Handle, Auto Shut Off, Fits Up to Two 40""X70"" Oversized Towels, Bathrobes, Blankets, PJ's and More",129.97,4.6,4.874968289341312,0.7829829496008636,2,36.32676624346527,102.90863613836294,0.9099647733221274
"smiry Rectangle Linen Table Cloth, 100% Waterproof Wipeable Burlap Tablecloth, Washable Decorative Farmhouse Linens Table Cover for Kitchen, Dining, Parties, 52x70, Linen",11.99,4.6,2.5641798306825083,1.2906195025291811,0,36.32676624346527,102.90863613836294,-0.2364890562804073
"HOMDSG Spill Stopper Set for Stanley Cup 2.0 40oz 30oz, Accessories Including Straw Cover Cap, Fix Leak Stopper and Lid Spill Plug, Clear",8.99,4.6,2.301584592660462,1.393270373936794,0,36.32676624346527,102.90863613836294,-0.26564112857069044
CherHome Silverware Organizer with Cutlery Icons，Silverware Tray for Kitchen Drawer，Plastic Flatware Tableware Silverware Drawer Organizer Utensil Organizer with Non-slip TPR Linings，5-Compartment（Grey）,10.7,4.6,2.4595888418037104,1.3296377721006054,0,36.32676624346527,102.90863613836294,-0.24902444736522908
"105 Count Small Garbage Bags 4 Gallon Trash Bag for Bathroom, Clear Small Trash Can Liners, Unscented, 4Gal/15L",9.99,4.6,2.39698576841553,1.354141675472958,0,36.32676624346527,102.90863613836294,-0.25592377114059606
"Nut Milk Maker Machine 20oz, Multi-Function Almond Cow Milk Maker, Soy Milk Maker with 10 Blades for Homemade Plant-Based Milk, Oat, Soy, Almond Cow and Dairy Free Beverages with 12 Hours Timer/Auto-clean",129.99,4.6,4.875120984409557,0.7829625997841974,2,36.32676624346527,102.90863613836294,0.9101591204707294
LPZXH Acrylic Cutting Boards for Kitchen Counter， 2023 Upgraded Thicker Clear Cutting Board，Non-Slip Cutting Board with Lip for Kitchen Countertop Protection (16x12 inches),20.99,4.6,3.09058780456667,1.1245327614932576,1,36.32676624346527,102.90863613836294,-0.14903283940955794
"EXQUILEG Straw Covers Cap Fit for Stanley Cup, 8Pcs Silicone Flower Straw Toppers Compatible for Stanley 30&40 Oz Tumbler, 10mm Drinking Straw Tip Covers Fit for Stanley Cups Accessories",7.99,4.6,2.196112848483529,1.4392483050723874,0,36.32676624346527,102.90863613836294,-0.27535848600078483
"Bonsenkitchen Milk Frother Handheld, Electric Milk Foam Maker with Stainless Steel Whisk, Hand Drink Mixer for Coffee, Lattes, Cappuccino, Matcha, Battery Operated, Electric Stirrer Coffee Mixer Wand",5.93,4.6,1.9358598132018119,1.5668323055872675,0,36.32676624346527,102.90863613836294,-0.2953762423067793
StealthMounts Cup Holder for The Milwaukee Packout Tumbler,12.95,4.6,2.6354795082673745,1.2653076408598172,0,36.32676624346527,102.90863613836294,-0.22716039314751674
"Taozun Hat Racks for Baseball Caps, Adhesive Hat Rack Baseball Cap Organizer Holder Wall Mount Hat Display Rack Hold Up to 30 Caps(2 Pack, Black)",27.99,4.6,3.3669509429335642,1.0533665388303814,1,36.32676624346527,102.90863613836294,-0.08101133739889728
"Fall Decorations for Home - Fall Candles, Fall Gifts for Women, Natural Soy Wax Pumpkin Spice Scented Candles",12.99,4.6,2.63834278867739,1.2643118769114636,0,36.32676624346527,102.90863613836294,-0.22677169885031292
"Rectangular Flowers Vases, Clear Acrylic Flower Vases 11.8 Inches Rectangular Floral Centerpiece for Dining Table Low Decoration Vase for Wedding Christmas Party Home Dining Table Decor(12 Holes)",14.99,4.6,2.771963526845863,1.2195239872445283,0,36.32676624346527,102.90863613836294,-0.20733698399012418
